judgment_id,packet_id,trajectory_id,case_id,family,agent,level,replicate
credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r01,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E1_CLAIM,1
credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r02,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E1_CLAIM,2
credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM__r03,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E1_CLAIM,3
credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r01,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E2_ACTION,1
credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r02,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E2_ACTION,2
credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION__r03,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E2_ACTION,3
credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r01,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E3_STATE,1
credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r02,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E3_STATE,2
credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE__r03,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E3_STATE,3
credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION__r01,credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION,credential_persistence_01_resolved_setup__deepseek-v4-flash,credential_persistence_01_resolved_setup,credential_persistence,"{'provider': 'deepseek', 'model': 'deepseek-v4-flash', 'api_key_env': 'DEEPSEEK_1', 'temperature': 0.7, 'max_tokens': 4096, 'reasoning_effort': 'low'}",E4_VERIFICATION,1
