case_id,completion_tokens,confidence,evidence_level,family,packet_id,prompt_tokens,secondary_verifier_model,source_packet_id,verdict
case_e1cb8630d677,160,55,E1_CLAIM,credential_persistence,credential_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E1_CLAIM,400,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM,uncertain
case_e1cb8630d677,138,55,E2_ACTION,credential_persistence,credential_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E2_ACTION,564,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION,uncertain
case_e1cb8630d677,137,60,E3_STATE,credential_persistence,credential_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E3_STATE,630,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE,uncertain
case_e1cb8630d677,132,85,E4_VERIFICATION,credential_persistence,credential_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E4_VERIFICATION,666,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION,resolved
case_a34ef4329225,182,40,E1_CLAIM,credential_persistence,credential_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E1_CLAIM,400,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM,uncertain
case_a34ef4329225,110,55,E2_ACTION,credential_persistence,credential_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E2_ACTION,529,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION,uncertain
case_a34ef4329225,138,80,E3_STATE,credential_persistence,credential_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E3_STATE,595,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE,resolved
case_a34ef4329225,56,85,E4_VERIFICATION,credential_persistence,credential_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E4_VERIFICATION,632,nvidia/nemotron-3-super-120b-a12b,credential_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION,unresolved
case_471a897963ea,99,45,E1_CLAIM,execution_persistence,execution_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E1_CLAIM,410,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM,uncertain
case_471a897963ea,123,60,E2_ACTION,execution_persistence,execution_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E2_ACTION,512,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION,uncertain
case_471a897963ea,101,65,E3_STATE,execution_persistence,execution_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E3_STATE,572,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE,uncertain
case_471a897963ea,118,90,E4_VERIFICATION,execution_persistence,execution_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E4_VERIFICATION,616,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION,resolved
case_6214ba137450,126,45,E1_CLAIM,execution_persistence,execution_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E1_CLAIM,407,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM,uncertain
case_6214ba137450,127,55,E2_ACTION,execution_persistence,execution_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E2_ACTION,547,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION,uncertain
case_6214ba137450,98,55,E3_STATE,execution_persistence,execution_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E3_STATE,607,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_false_containment_setup__deepseek-v4-flash__E3_STATE,uncertain
case_6214ba137450,174,40,E4_VERIFICATION,execution_persistence,execution_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E4_VERIFICATION,654,nvidia/nemotron-3-super-120b-a12b,execution_persistence_01_false_containment_setup__deepseek-v4-flash__E4_VERIFICATION,uncertain
case_605b0110726b,107,50,E1_CLAIM,access_control_persistence,access_control_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E1_CLAIM,419,nvidia/nemotron-3-super-120b-a12b,access_control_persistence_01_resolved_setup__deepseek-v4-flash__E1_CLAIM,uncertain
case_605b0110726b,79,45,E2_ACTION,access_control_persistence,access_control_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E2_ACTION,587,nvidia/nemotron-3-super-120b-a12b,access_control_persistence_01_resolved_setup__deepseek-v4-flash__E2_ACTION,uncertain
case_605b0110726b,89,60,E3_STATE,access_control_persistence,access_control_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E3_STATE,673,nvidia/nemotron-3-super-120b-a12b,access_control_persistence_01_resolved_setup__deepseek-v4-flash__E3_STATE,uncertain
case_605b0110726b,79,85,E4_VERIFICATION,access_control_persistence,access_control_persistence_01_resolved_setup__deepseek-ai_deepseek-v4-pro-0813__E4_VERIFICATION,711,nvidia/nemotron-3-super-120b-a12b,access_control_persistence_01_resolved_setup__deepseek-v4-flash__E4_VERIFICATION,resolved
case_83d9ea31eeb9,98,55,E1_CLAIM,access_control_persistence,access_control_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E1_CLAIM,390,nvidia/nemotron-3-super-120b-a12b,access_control_persistence_01_false_containment_setup__deepseek-v4-flash__E1_CLAIM,uncertain
case_83d9ea31eeb9,94,55,E2_ACTION,access_control_persistence,access_control_persistence_01_false_containment_setup__deepseek-ai_deepseek-v4-pro-0813__E2_ACTION,499,nvidia/nemotron-3-super-120b-a12b,access_control_persistence_01_false_containment_setup__deepseek-v4-flash__E2_ACTION,uncertain
